ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
ALİAĞA,ATATÜRK,"11,45","4,79","11,94","10,47","1,14",1,Standart Sakinler
ALİAĞA,AŞAĞIŞAKRAN,"20,91","15,64","24,14","18,41","1,31",1,Standart Sakinler
ALİAĞA,B.HAYRETTİN PAŞA,"10,89","3,38","13,04","9,44","1,38",1,Standart Sakinler
ALİAĞA,BAHÇEDERE,"19,39","21,50","26,89","12,17","2,21",0,Yazlıkçı / Mevsimsel
ALİAĞA,BOZKÖY,"19,87","12,71","27,23","13,27","2,05",0,Yazlıkçı / Mevsimsel
ALİAĞA,FATİH,"11,85","7,30","13,46","9,01","1,49",1,Standart Sakinler
ALİAĞA,GÜZELHİSAR,"16,40","8,84","22,42","12,01","1,87",0,Yazlıkçı / Mevsimsel
ALİAĞA,HACIÖMERLİ,"18,70","13,84","22,32","15,45","1,44",1,Standart Sakinler
ALİAĞA,HOROZGEDİĞİ,"24,17","14,98","31,50","18,71","1,68",1,Standart Sakinler
ALİAĞA,KALABAK,"16,73","11,03","23,33","10,69","2,18",0,Yazlıkçı / Mevsimsel
ALİAĞA,KAPUKAYA,"14,12","8,56","18,60","9,15","2,03",0,Yazlıkçı / Mevsimsel
ALİAĞA,KARAKUZU,"20,09","16,16","26,36","11,73","2,25",0,Yazlıkçı / Mevsimsel
ALİAĞA,KARAKÖY,"13,06","10,19","13,51","12,64","1,07",1,Standart Sakinler
ALİAĞA,KAZIM DİRİK,"10,87","4,88","11,27","9,86","1,14",1,Standart Sakinler
ALİAĞA,KURTULUŞ,"11,02","4,92","11,62","9,92","1,17",1,Standart Sakinler
ALİAĞA,KÜLTÜR,"11,37","4,92","12,18","10,21","1,19",1,Standart Sakinler
ALİAĞA,MİMAR SİNAN,"12,08","6,90","13,52","9,43","1,43",1,Standart Sakinler
